#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
eunuch;Eunuch;Eunuque;Eunuch;;Eunuco;;;;;;;;;x
EVTOPTCLoR.30;No, we have no time for such nonsense.;Non, nous n'avons pas de temps pour une telle absurdité.;Nein, wir haben keine Zeit für solchen Unfug.;;No, no tenemos tiempo para tonterías como ésas.;;;;;;;;;x
EVTTOOLTIPLoR.31;A triumph is held at the Hippodrome.;Un triomphe aura lieu à l'Hippodrome.;Ein Triumphzug wird im Hippodrom abgehalten.;;Un triunfo se lleva a cabo en el Hipódromo.;;;;;;;;;x
EVTDESCLoR.31;A mighty triumph is held at the Hippodrome to celebrate the brave generals and soldiers who brought defeat to the enemies of the Empire. The people cheer as trumpeters lead a long procession that includes parading soldiers, carts filled with the spoils of war and cages holding captives from the recent campaign.;Un grand triomphe a lieu à l'Hippodrome pour célébrer les braves généraux et soldats qui ont vaincu les ennemis de l'empire. Le peuple acclame le passage des trompettistes ouvrant une grande procession composée de soldats, de chars remplis de butins de gu;Ein gigantischer Triumphzug wird im Hippodrom, zu Ehren der tapferen Generäle und Soldaten, abgehalten, die den Feinden des Reiches die Niederlage brachten. Das Volk jubelt angesichts der Fanfarenbläser, die eine lange Prozession von Soldaten, mit Kriegsb;;Un gran triunfo se lleva a cabo en el Hipódromo para celebrar que los valientes generales y soldados condujeron a los enemigos del Imperio a la derrota. La gente aclama a los trompetistas que encabezan una larga procesión que incluye soldados, carretas llenas del botín de guerra y jaulas con cautivos de la reciente campaña.;;;;;;;;;x
EVTOPTALoR.31;The Empire is on the verge of success.;L'Empire est sur la voie du succès.;Das Reich steht kurz vor dem Erfolg.;;El imperio está a punto de alcanzar el éxito.;;;;;;;;;x
EVTDESCLoR.32;The [Root.Liege.GetTitle] has commanded that a triumph be held at the Hippodrome to celebrate the brave soldiers responsible for the Empire's recent victory. The people cheer as trumpeters lead a long procession that includes parading soldiers, carts filled with the spoils of war and cages holding captives from the recent campaign.;Le [Root.Liege.GetTitle] a ordonné un défilé triomphal à l'Hippodrome afin de célébrer le retour des valeureux soldats auteurs de la récente victoire de l'empire. Le peuple acclame le passage des trompettistes ouvrant une grande procession composée de sol;Der [Root.Liege.GetTitle] hat die Anweisung erteilt, einen Triumphzug zu Ehren der tapferen Soldaten, die den jüngsten Sieg des Reiches zu verantworten haben, im Hippodrom abzuhalten. Das Volk jubelt angesichts der Fanfarenbläser, die eine lange Prozessio;;El [Root.Liege.GetTitle]ha ordenado que un gran triunfo se lleva a cabo en el Hipódromo para celebrar a los valientes soldados, artífices de la reciente victoria para el Imperio. La gente aclama a los trompetistas que encabezan una larga procesión que incluye soldados, carretas llenas del botín de guerra y jaulas con cautivos de la reciente campaña.;;;;;;;;;x
EVTOPTALoR.32;An impressive display.;Une impressionnante démonstration.;Ein bemerkenswerter Anblick.;;Un impresionante despliegue. ;;;;;;;;;x
opinion_triumph_held;Triumph Held;La glorieuse célébration;Triumphzug Abgehalten;;Triunfo Acontecido;;;;;;;;;x
triumph_held;Your vassals are impressed by this display of Imperial power.;Vos vassaux sont impressionnés par la démonstration du Pouvoir impérial.;Eure Vasallen sind beeindruckt vom Anblick solch imperialer Macht.;;Tus vasallos están impresionados por este despliegue de poder imperial.;;;;;;;;;x
EVTNAMELoR.40;The Imperial Borders Are Restored;Les Frontières impériales sont rétablies;Die Grenzen des Imperiums Wurden Wiederhergestellt;;Las fronteras Imperiales han Sido Restablecidas;;;;;;;;;x
EVTDESCLoR.40;The story of the Roman Empire's glorious recovery will be told throughout the ages. Those unfortunate enough to have lived through the black days when barbarians sacked Rome at will or the Arab invaders swept in from the desert would not have dared dream of this day. All of the old provinces have been reclaimed and the Empire now stretches farther than it has in nearly a thousand years.\n\nChurch bells across Europe are ringing to celebrate this momentous occasion and men and women in both Rome and Constantinople are weeping tears of joy. It will be a challenge to keep an empire of this scale together, but for the sake of all humanity you must succeed, lest the world plunge into yet another dark age of ignorance and barbarity bereft of Rome's guiding light.;L'histoire de la renaissance glorieuse de l'Empire romain sera sans cesse racontée à travers les âges. Ceux qui ont eu le malheur de vivre ces jours sombres, où les barbares saccageaient Rome à volonté et où les envahisseurs arabes venaient tout balayer c;Die Geschichte von der glorreichen Wiederherstellung des Römischen Reiches wird noch etliche Zeitalter erschallen. Jene Unglücklichen, die während dieser dunklen Zeiten gelebt haben, als wilde Barbaren Rom nach ihrem Gusto piesakten oder arabische Eindrin;;La historia de la gloriosa recuperación del Imperio Romano se contará durante siglos. Los desafortunados que tuvieron que vivir días oscuros cuando los bárbaros saquearon Roma  o cuando los invasores árabes arrasaron desde el desierto, no se hubiesen ni siquiera atrevido a soñar como estamos hoy en día. Todas las antiguas provincias están recuperadas y el Imperio ahora se extiende más allá de lo que Roma fue hace ya cerca de mil años. \n\nLas campanas de las iglesias de toda Europa repican para celebrar esta memorable ocasión y los hombres y las mujeres derraman lágrimas de alegría en Roma y Constantinopla. Será un desafío mantener un Imperio de esta magnitud,  pero por el bien de toda la humanidad tienes que conseguirlo, no sea que el mundo sufra otra época oscura de ignorancia y barbarie, y que falte la luz guiadora que el Imperio Romano representa.;;;;;;;;;x
EVTOPTALoR.40;The Empire will not fall again.;L'Empire ne chutera pas une autre fois.;Das Imperium wird nicht erneut fallen.;;El Imperio no caerá otra vez.;;;;;;;;;x
EVTDESCLoR.200;With the city back under East Roman control, the Patriarchate of Antioch has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint Peter the Apostle, who is regarded as the first Pope by the Western Catholic Church.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat d'Antioche a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint Pie;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Antiochien, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Apostel Petrus gegrü;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Antioquía ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental. La cual fue originalmente fundada por San Pedro Apóstol, considerado el primer Papa de la Iglesia católica occidental.;;;;;;;;;x
EVTOPTALoR.200;God be praised!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea dios!;;;;;;;;;x
EVTDESCLoR.201;With the city back under East Roman control, the Patriarchate of Jerusalem has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint James the Just, who was made head of the Church in Jerusalem soon after the death of Jesus.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat de Jérusalem a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint J;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Jerusalem, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Jakobus, dem Gerechte;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Jerusalén ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental, la cual fue originalmente fundada por Santiago el Justo, que fue nombrado jefe de la Iglesia en Jerusalén poco después de la  muerte de Jesús.;;;;;;;;;x
EVTDESCLoR.202;With the city back under East Roman control, the Patriarchate of Alexandria has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. It was originally founded by Saint Mark the Evangelist, who became Alexandria's first patriarch.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat d'Alexandrie a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Il a été fondé à l'origine par Saint M;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat von Alexandrien, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Es wurde ursprünglich vom Heiligen Evangelist Markus g;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Alejandría ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental, que originalmente fue fundada por San Marcos Evangelista, el primer patriarca de Alejandría. ;;;;;;;;;x
EVTDESCLoR.203;With the city back under East Roman control, the Patriarchate of Rome has been properly restored as one of the episcopal sees of the Pentarchy in the Eastern Orthodox Church. If all five historical patriarchates are returned to the Pentarchy, the Great Schism between the Eastern and Western churches may finally be mended.;Comme la cité est de nouveau sous le contrôle de l'Empire romain d'Orient, le Patriarcat de Rome a formellement été restitué à l'un des sièges épiscopaux de la Pentarchie au sein de l'Église orthodoxe orientale. Si les cinq patriarcats historiques sont re;Nun da die Stadt erneut unter der Kontrolle Ost-Roms ist, wurde das Patriarchat Roms, als einer der bischöflichen Arme der Pentarchie in der Orthodoxen Kirche des Ostens, wiederhergestellt. Wenn alle fünf Patriarchate wieder der Pentarchie zugehörig sind,;;Con la ciudad de nuevo bajo el control romano del este, el Patriarcado de Roma ha sido debidamente reinstaurado como una de las sedes episcopales de la Pentarquía en la Iglesia Ortodoxa Oriental. Si los cinco patriarcados históricos son devueltos a la Pentarquía, el Gran Cisma entre las iglesias orientales y occidentales finalmente podrá ser reparado.;;;;;;;;;x
mend_great_schism;Mend the Great Schism;Mettre fin au Grand Schisme;Heile das Große Schisma;;Reparar el Gran Cisma;;;;;;;;;x
mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under Roman rule and the Orthodox faith, there may be a chance to finally reunite Christendom.;L'Église chrétienne s'est vu divisée en deux lignées par le Grand Schisme, mais si la totalité des cinq sièges épiscopaux de la Pentarchie peuvent être rétablis sous le règne de Rome et de la foi orthodoxe, il y a peut-être une chance de réunir enfin la C;Das Große Schisma sah die christliche Kirche in zwei Teile zerfallen, doch wenn alle fünf episkopalen Arme der Pentarchie wieder unter römischer Herrschaft und in orthodoxem Glauben vereint sind, besteht eine Chance, das Christentum wieder zu vereinen.;;El Gran Cisma dividió la Iglesia Cristiana en dos ramas, pero si las cinco sedes episcopales de la Pentarquía pueden ser recuperadas bajo el dominio romano y la fe ortodoxa, podría haber una oportunidad de reunir finalmente la cristiandad.;;;;;;;;;x
EVTTOOLTIPLoR.210;The Great Schism is mended and Christendom reunited.;Le Grand Schisme est terminé et toutes les églises chrétiennes sont réunies.;Das Große Schisma wurde geheilt und das Christentum wieder vereint.;;El Gran Cisma se remendó y se reunió cristiandad.;;;;;;;;;x
EVTNAMELoR.210;The Great Schism Mended;La Fin du Grand Schisme;Das Große Schisma wurde geheilt ;;El Gran Cisma reparado;;;;;;;;;x
EVTDESCLoR.210;At last the Great Schism between the Western Catholic Church and the Eastern Orthodox Church has been mended. With the spread of Orthodoxy and the reunification of the Pentarchy, including the vital episcopal see of Rome, the Catholic faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the Pentarchy can once more claim universal rule over all of Christendom.;Enfin le Grand Schisme entre l'Église catholique d'Occident et l'Église orthodoxe d'Orient est terminé. Avec l'expansion de l'orthodoxie et la réunification de la Pentarchie, incluant l'important siège épiscopal de Rome, la foi catholique n'a plus la même;Endlich wurde das Große Schisma zwischen der westlichen katholischen Kirche und der östlichen orthodoxen Kirche geheilt. Mit der Ausbreitung der Rechtgläubigkeit und der Wiedervereinigung der Pentarchie, unter Einbindung aller fünf Episkopale Roms, hat de;;Por fin, el Gran Cisma entre la Iglesia Católica Occidental y la Iglesia Ortodoxa Oriental ha sido reparado. Con la expansión de la Ortodoxia y la reunificación de la Pentarquía, incluida la vital sede episcopal de Roma, la fe católica tiene ahora poca influencia sobre la gente en Europa. Habrá quienes todavía se aferren a ella, pero serán pocos en número y la  Pentarquía puede reclamar una vez más, el dominio universal sobre toda la cristiandad.;;;;;;;;;x
