#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###### Misc events, decisions, modifiers;;;;;;;;;;;;x
###### Georgian Schism;;;;;;;;;;;;x
GEORGIAN.1.title;The Georgian Church;L'Église géorgienne;;;La iglesia Georgiana;;;;;;;x
EVTDESCspanish.3;As high inquisitor, you have noticed that one of your lieges vassals is employing a dirty heretic. Something must be done at once.;En tant que grand inquisiteur, vous avez remarqué que l'un des vassaux de votre suzerain emploie un sale hérétique. Quelque chose doit être fait tout de suite.;;;Como gran inquisidor, habrás notado que uno de tus vasallos de los reyes está empleando a un hereje sucio. Algo debe hacerse a la vez.;;;;;;;x
EVTDESCspanish.4;I am most concerned that you allow heretics as your advisors. They should immediately be removed from their position.;Je suis très préoccupé parce que certains de vos conseillers soient des hérétiques. Ils doivent immédiatement être démis de leur position.;;;Me preocupa mucho que permitas a los herejes como tus consejeros. Deberían ser removidos inmediatamente de su posición.;;;;;;;x
EVTOPTAspanish.4;I have no choice.;Je n'ai pas le choix.;;;No tengo opción.;;;;;;;x
EVTOPTBspanish.4;I'd sooner die!;Je mourrai tôt !;;;¡Moriré pronto!;;;;;;;x
###### Tyranny events;;;;;;;;;;;;x
EVTDESCtyr.1;Your liege has recently put you under suspicion of being an enemy of the state. Such claims are clearly unfounded, but with the state the nation is in, you need to be careful.;Votre suzerain vous a récemment soupçonné d'être un ennemi de l'État. De telles affirmations sont manifestement non fondées, mais au vue l'état de la nation, vous devez être prudent.;;;Su señor recientemente lo puso bajo sospecha de ser un enemigo del estado. Tales afirmaciones son claramente infundadas, pero con el estado en el que se encuentra la nación, debe tener cuidado.;;;;;;;x
EVTOPTAtyr.1;Confess!;Avouer !;;;¡Confiesa!;;;;;;;x
EVTOPTBtyr.1;I've done nothing!;Je n'ai rien fait !;;;¡No he hecho nada!;;;;;;;x
EVTDESCtyr.2;Your agents have put one of your vassals under questioning, and he immediately confesses. What action do you want to take?;Vos agents ont soumis à la question un de vos vassaux, et celui-ci avoua immédiatement. Quelles mesures voulez-vous prendre ?;;;Sus agentes han puesto a uno de sus vasallos bajo interrogatorio, e inmediatamente confiesa. ¿Qué acción quieres tomar?;;;;;;;x
EVTOPTBtyr.2;Let it slide...;Laissez glisser...;;;Déjalo pasar...;;;;;;;x
EVTOPTAtyr.2;Have the vassal arrested!;Arrêtez le vassal !;;;¡Arrestalo!;;;;;;;x
EVTDESCtyr.4;With your confession, your liege has ordered your immediate arrest. Let's hope worse does not happen in the dungeons.;Avec votre confession, votre suzerain a ordonné votre arrestation immédiate. Espérons que le pire ne se produise pas dans les donjons.;;;Con su confesión, su señor ha ordenado su arresto inmediato. Esperemos que lo peor no ocurra en las mazmorras.;;;;;;;x
EVTOPTAtyr.4;Uh oh...;Oh oh ...;;;Oh oh...;;;;;;;x
EVTDESCtyr.5;Your liege, in an unforeseen act of kindness, has decided to forget about your confession. Let's hope this does not happen again.;Votre suzerain, dans un acte imprévu de bonté, a décidé d'oublier votre confession. Espérons que cela ne se reproduise plus.;;;Su señor, en un acto de bondad imprevisto, ha decidido olvidarse de su confesión. Esperemos que esto no vuelva a suceder.;;;;;;;x
EVTOPTAtyr.5;Wonderful!;Formidable !;;;¡Grandioso!;;;;;;;x
EVTDESCtyr.6;Wonderful liege! I have received news that you have decided to spare me! I thank you endlessly for your kindness, and I swear total loyalty!;Formidable suzerain ! J'ai reçu des nouvelles que vous avez décidé de m'épargner ! Je vous remercie infiniment pour votre gentillesse, et je vous jure une fidélité totale !;;;¡Señor maravilloso! ¡He recibido noticias de que has decidido perdonarme! ¡Te agradezco infinitamente por tu amabilidad y te juro lealtad total!;;;;;;;x
EVTOPTAtyr.6;Excellent...;Excellent...;;;Excelente.;;;;;;;x
EVTDESCtyr.7;Your agents report that one of your vassals, who is clearly plotting against you, has denied all charges against him. It is obvious he is lying, and is a danger to the throne.;Vos agents rapportent que l'un de vos vassaux, qui complote clairement contre vous, a nié toutes les accusations portées contre lui. Il est évident qu'il ment, et qu'il est un danger pour le trône.;;;Sus agentes informan que uno de sus vasallos, que claramente está conspirando contra usted, ha negado todos los cargos en su contra. Es obvio que está mintiendo, y es un peligro para el trono.;;;;;;;x
EVTOPTCtyr.7;I'll spare them...;Je les épargnerais;;;Les perdonaré...;;;;;;;x # Why it is "them" whereas it is "one of your" before?
EVTOPTBtyr.7;Beat it out of them.;Les battre;;;Apalizalos.;;;;;;;x
EVTOPTDtyr.7;I do as the voices command.;Je ferai comme les voix le commanderont.;;;Hago como las voces ordenen.;;;;;;;x
EVTDESCtyr.8;In an act of incredible mercy, I have decided to spare your life. I will not make this decision again.;Dans un acte de miséricorde incroyable, j'ai décidé d'épargner votre vie. Je ne referai pas cette décision.;;;En un acto de increíble misericordia, he decidido perdonarte la vida. No tomaré esta decisión de nuevo.;;;;;;;x
EVTDESCtyr.9;Thugs from your liege have come, they threaten to force a confession out of you. You now have a choice.;Les brutes de votre suzerain sont venus, ils menacent de vous forcer de confesser. Vous avez maintenant un choix.;;Los matones de tu señor han venido, te amenazan con forzarte a confesarte. Ahora tienes una opción.;;;;;;;;x
###### Senate events;;;;;;;;;;;;x
EVTNAMESENATE.21;The Republic Triumphant;La République Triomphante;;;¡La república triunfante!;;;;;;;x
EVTDESCSENATE.21;With the supremacy of the Senate, now all lands it controls are rightful possessions of the restored republic.;Avec la suprématie du Sénat, maintenant toutes les terres qu'il contrôle sont des possessions légitimes de la république restaurée.;;;Con la supremacía del Senado, ahora todas las tierras que controla son posesiones legítimas de la república restaurada.;;;;;;;x
EVTOPTASENATE.21;Long live S.P.Q.R.!;Longue vie S.P.Q.R. !;;;¡Larga vida S.P.Q.R.!;;;;;;;x
###### Guard events: adapted from Varangian Guard (localisation file v1_10);;;;;;;;;;;;x
EVTNAME_guard_3100;The Scholae Palatinae;Le Scholae Palatinae;;;La Escuela Palatina;;;;;;;x
EVTDESC_guard_3100;In the fourth century, emperor Constantine I the Great created the Scholae Palatinae as an elite guards unit of about 6,000 soldiers, and to replace the deceitful Praetorian Guard. Gradually however, the ease of palace life and lack of actual campaigning, as the Emperors ceased to take the field themselves, lessened their combat abilities. The Scholae Palatinae became mostly a honorary and representative unit. \nWith the recent dangers to being an Emperor of the East, it has become necessary to provide a better guard for your safety. Reorganized to once more provide real combat ability, this elite corps of soldiers will ensure the Emperor will never fear again.;Durant le quatrième siècle, l'empereur Constantin Ier a créé le Scholae Palatinae en tant que corps de garde d'environ 6 000 soldats, pour remplacer la garde prétorienne déloyale. Cependant le confort de la vie de palais et le manque de participation dans de véritables campagnes ont progressivement diminué les capacités de combat de la garde, tandis que les empereurs ont cessé de se rendre au combat eux-mêmes. Le Scholae Palatinae est ainsi devenu une unité plutôt honorifique et représentative. \nAvec les récents dangers d'être un empereur d'Orient, il est devenu nécessaire de fournir une meilleure protection pour votre sécurité. Réorganiser le Scholae Palatinae, ce corps d'élite de soldats assurera à l'Empereur de ne jamais avoir à craindre à nouveau.;;;En el siglo IV, el emperador Constantino I el Grande creó la Scholae Palatinae como una unidad de guardias de élite de alrededor de 6.000 soldados, y para reemplazar a la engañosa Guardia Pretoriana. Poco a poco, sin embargo, la facilidad de la vida en el palacio y la falta de una campaña real, ya que los emperadores dejaron de tomar el campo ellos mismos, disminuyeron sus habilidades de combate. Scholae Palatinae se convirtió en su mayoría en una unidad honoraria y representativa. \nCon los recientes peligros de ser un Emperador de Oriente, se ha vuelto necesario proporcionar una mejor protección para su seguridad. Reorganizado para proporcionar una vez más capacidad de combate real, este cuerpo de élite de soldados se asegurará de que el Emperador nunca más temerá.;;;;;;;x
EVTOPTA_guard_3100;Long live the order!;Longue vie à l'ordre !;;;¡Larga vida a la orden!;;;;;;;x
EVTDESC_guard_3101;[From.GetFirstName], the Emperor of the East, has reorganized the Scholae Palatinae to better protect imperial interests. This elite corps has the potential of granting great prestige and honor, and many young men are joining it.;[From.GetFirstName], l'empereur d'Orient, a formé un nouveau garde, le Scholae Palatinae pour mieux protéger les intérêts impériaux. Ce corps d'élite a le potentiel d'accorder un grand prestige et honneur, ainsi que beaucoup de jeunes hommes qui se joindront à lui.;;;[From.GetFirstName], el Emperador de Oriente, ha reorganizado las Scholae Palatinae para proteger mejor los intereses imperiales. Este cuerpo de élite tiene el potencial de otorgar gran prestigio y honor, y muchos jóvenes se unen a él.;;;;;;;x
EVTOPTA_guard_3101;Interesting developments...;Des développements intéressants...;;;Avances interesantes...;;;;;;;x
EVTOPTA_guard_3110;I won't allow it!;Je ne le permettrai pas !;;;¡No lo permitiré!;;;;;;;x
EVTDESC_guard_3110;Your son, [From.GetTitledFirstName], has decided that he wants to enlist in the noble Scholae Palatinae. There is a good chance of prestige and glory, but he may not come back alive.;Votre fils, [From.Get_le_Title][From.GetTitledFirstName], a décidé de s'enrôler dans la noble Scholae Palatinae. Il y a des grandes chances de gagner du prestige et de la gloire, mais les nombreux dangers pourront lui coûter la vie.;;;Su hijo, [From.GetTitledFirstName], ha decidido que quiere alistarse en la noble Scholae Palatinae. Hay una buena posibilidad de prestigio y gloria, pero es posible que no regrese vivo.;;;;;;;x
EVTOPTB_guard_3110;Let him go;Laissez le partir;;;Déjalo partir;;;;;;;x
EVTDESC_guard_3112;A grizzled old warrior having just returned from Greece arrived with a message from [From.GetTitledFirstName] today. Though he has left the Scholae Palatinae, your son has apparently found himself a Greek wife and decided to remain in Constantinople and build a new life there. It is doubtful whether you will ever see him again...;Un vieux guerrier grisonnant est revenu aujourd'hui de Grèce portant un message pour [From.GetTitledFirstName]. Bien qu'il ait quitté le Scholae Palatinae, votre fils s'est apparemment trouvé une épouse grecque et a décidé de rester à Constantinople pour y refaire sa vie. Vous ne le reverrez probablement plus jamais...;;;Un viejo guerrero canoso que acaba de regresar de Grecia llegó hoy con un mensaje de [From.GetTitledFirstName]. A pesar de que dejó la Scholae Palatinae, su hijo aparentemente se encontró a sí mismo como una esposa griega y decidió quedarse en Constantinopla y construir una nueva vida allí. Es dudoso que alguna vez lo vuelvas a ver ...;;;;;;;x
EVTOPTA_guard_3112;My son....;Mon fils...;;;Mi hijo...;;;;;;;x
EVTDESC_guard_3113;After finishing his service with the Scholae Palatinae, [From.GetTitledFirstName] has married a local woman and decided to remain in Constantinople instead of returning home to the barbaric land he once came from. He has pledged his continued service to you.;Après avoir terminé son service dans le Scholae Palatinae, [From.GetTitledFirstName] s'est marié à une femme du pays et a décidé de rester à Constantinople au lieu de retourner en terre natale barbare. Il s'est engagé à toujours vous servir.;;;Después de terminar su servicio con las Scholae Palatinae, [From.GetTitledFirstName] se casó con una mujer local y decidió quedarse en Constantinopla en lugar de regresar a casa a la tierra bárbara de la que una vez vino. Él ha prometido continuar su servicio.;;;;;;;x
EVTOPTA_guard_3113;Very well...;Très bien...;;;Muy bien...;;;;;;;x
EVTDESC_guard_3115;A heavily scarred warrior clad in Greek armor approaches your throne, and before he can be disarmed, the stranger relieves your guard of his spear in a swift, fluid motion and tosses it aside. Other guards hurry forward, but you raise your hand to stop them. The stranger is [From.GetTitledFirstName], at last returned from Greece!;Un guerrier profondément balafré, revêtu d'une étrange armure, s'approche de votre trône et, avant qu'on n'ait pu le désarmer, l'étranger, d'un mouvement prompt et adroit, désarme votre garde et jette sa lance par terre. Les autres gardes s'approchent en vitesse, mais vous levez votre bras pour les arrêter. L'étranger est [From.GetTitledFirstName], enfin revenu de Grèce !;;;Un guerrero con cicatrices y vestido con armadura griega se acerca a tu trono, y antes de que pueda ser desarmado, el desconocido alivia tu guardia de su lanza en un movimiento rápido y fluido y la arroja a un lado. Otros guardias se apresuran hacia adelante, pero levantas la mano para detenerlos. ¡El extraño es [From.GetTitledFirstName], finalmente devuelto de Grecia!;;;;;;;x
EVTOPTA_guard_3115;[From.GetFirstName]! You've... changed!;[From.GetFirstName]! Tu as... changé !;;;[From.GetFirstName]! ¡Has cambiado!;;;;;;;x
EVTDESC_guard_3117;Your son, [From.GetTitledFirstName], has finally returned home from Greece and his service with the Scholae Palatinae! Although you can't quite put your finger on it, he seems different somehow... and what is this Greek love he speaks of?;Votre fils, [From.GetTitledFirstName], est finalement revenu de Grèce et de son service dans le Scholae Palatinae ! Bien que vous ne pouvez encore dire pourquoi, il semble quelque peu différent... Serait-ce cet 'amour grec' dont il parle ?;;;¡Tu hijo, [From.GetTitledFirstName], finalmente ha regresado a casa desde Grecia y su servicio con Schola Palatinae! Aunque no puedes ponerle el dedo encima, de alguna manera parece diferente ... ¿y de qué es este amor griego del que habla?;;;;;;;x
EVTOPTA_guard_3117;No matter, I'm just glad he made it home!;Ça ne fait rien, son retour me fait grand plaisir !;;;No importa, ¡me alegro de que haya llegado a casa!;;;;;;;x
EVTDESC_guard_3119;A frail, robed man is led into your throne room, and your guards explain that he just arrived on a ship coming from Constantinople. The man would only speak your name over and over again, and so he was brought to you. To your horror, you recognize him at last as [From.GetTitledFirstName]!;Un homme frêle et vêtu d'une robe est mené dans votre salle du trône et vos gardes expliquent qu'il vient tout juste de débarquer d'un navire en provenance de Constantinople. L'homme répétait inlassablement le même mot : votre nom. Vous frémissez d'horreur en le reconnaissant, c'est [From.GetTitledFirstName] !;;;Un hombre frágil y mal vestido es llevado a la sala del trono, y los guardias te explican que acaba de llegar en un barco procedente de Constantinopla. El hombre solo decía tu nombre una y otra vez, y entonces él fue traído a ti. Para tu horror, lo reconoces al fin como [From.GetTitledFirstName] ;;;;;;;x
